source,target,y,split
CHEMBL.COMPOUND:CHEMBL30,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL3707202,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1502,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL480,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL3833310,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL86,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL2106975,MONDO:0007186,1,test
CHEMBL.COMPOUND:CHEMBL3183075,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL560739,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1355,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1092473,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1201863,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL902,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1135,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1200736,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1219,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL2108563,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1200718,MONDO:0007186,1,train
CHEMBL.COMPOUND:CHEMBL1760,MONDO:0003781,1,test
CHEMBL.COMPOUND:CHEMBL3039471,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1200881,MONDO:0003781,1,test
CHEMBL.COMPOUND:CHEMBL3989646,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1200474,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1200405,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1620522,MONDO:0003781,1,val
CHEMBL.COMPOUND:CHEMBL1370561,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL364143,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1200356,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1013,MONDO:0003781,1,test
CHEMBL.COMPOUND:CHEMBL1201483,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL2106660,MONDO:0003781,1,test
CHEMBL.COMPOUND:CHEMBL2134724,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL134350,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1200567,MONDO:0003781,1,val
CHEMBL.COMPOUND:CHEMBL1201071,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL9,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1200811,MONDO:0003781,1,test
CHEMBL.COMPOUND:CHEMBL1200513,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL145615,MONDO:0003781,1,test
CHEMBL.COMPOUND:CHEMBL1728,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL221190,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL4,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL3301800,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1084647,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1200812,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL1607480,MONDO:0003781,1,train
CHEMBL.COMPOUND:CHEMBL389621,MONDO:0006684,1,train
CHEMBL.COMPOUND:CHEMBL689,MONDO:0006684,1,train
CHEMBL.COMPOUND:CHEMBL2106961,MONDO:0006684,1,train
CHEMBL.COMPOUND:CHEMBL632,MONDO:0006684,1,train
CHEMBL.COMPOUND:CHEMBL110054,MONDO:0006684,1,train
CHEMBL.COMPOUND:CHEMBL1697788,MONDO:0006684,1,train
CHEMBL.COMPOUND:CHEMBL1504,MONDO:0006684,1,train
CHEMBL.COMPOUND:CHEMBL1451,MONDO:0006684,1,val
CHEMBL.COMPOUND:CHEMBL650,MONDO:0006684,1,train
CHEMBL.COMPOUND:CHEMBL1200881,MONDO:0002635,1,train
CHEMBL.COMPOUND:CHEMBL1200852,MONDO:0001266,1,train
CHEMBL.COMPOUND:CHEMBL1200651,MONDO:0001266,1,train
CHEMBL.COMPOUND:CHEMBL1628385,MONDO:0001266,1,train
CHEMBL.COMPOUND:CHEMBL1200981,MONDO:0000402,1,train
CHEMBL.COMPOUND:CHEMBL1607,MONDO:0000402,1,val
CHEMBL.COMPOUND:CHEMBL320876,MONDO:0000402,1,train
CHEMBL.COMPOUND:CHEMBL1201012,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1023,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1200877,MONDO:0000607,1,test
CHEMBL.COMPOUND:CHEMBL1201360,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1201109,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL389621,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL3545368,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1200989,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1201001,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL2106961,MONDO:0000607,1,val
CHEMBL.COMPOUND:CHEMBL416,MONDO:0000607,1,test
CHEMBL.COMPOUND:CHEMBL1200975,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL632,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1200732,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1998981,MONDO:0000607,1,val
CHEMBL.COMPOUND:CHEMBL1501,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL110054,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL635,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1473,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL16829,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1201380,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1697788,MONDO:0000607,1,test
CHEMBL.COMPOUND:CHEMBL1200845,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1504,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1451,MONDO:0000607,1,val
CHEMBL.COMPOUND:CHEMBL140000,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL650,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1161,MONDO:0000607,1,train
CHEMBL.COMPOUND:CHEMBL1245,MONDO:0006932,1,train
CHEMBL.COMPOUND:CHEMBL462605,MONDO:0021107,1,train
CHEMBL.COMPOUND:CHEMBL1373,MONDO:0021107,1,train
CHEMBL.COMPOUND:CHEMBL1342,MONDO:0021107,1,train
CHEMBL.COMPOUND:CHEMBL3544971,MONDO:0021107,1,train
CHEMBL.COMPOUND:CHEMBL1722,MONDO:0021107,1,train
CHEMBL.COMPOUND:CHEMBL92161,MONDO:0021107,1,val
CHEMBL.COMPOUND:CHEMBL1201192,MONDO:0021107,1,train
CHEMBL.COMPOUND:CHEMBL389621,MONDO:0008727,1,val
CHEMBL.COMPOUND:CHEMBL2106961,MONDO:0008727,1,test
CHEMBL.COMPOUND:CHEMBL632,MONDO:0008727,1,train
CHEMBL.COMPOUND:CHEMBL110054,MONDO:0008727,1,train
CHEMBL.COMPOUND:CHEMBL635,MONDO:0008727,1,train
CHEMBL.COMPOUND:CHEMBL1201388,MONDO:0008727,1,train
CHEMBL.COMPOUND:CHEMBL1697788,MONDO:0008727,1,train
CHEMBL.COMPOUND:CHEMBL1504,MONDO:0008727,1,train
CHEMBL.COMPOUND:CHEMBL1451,MONDO:0008727,1,train
CHEMBL.COMPOUND:CHEMBL650,MONDO:0008727,1,train
CHEMBL.COMPOUND:CHEMBL1946170,MONDO:0007256,1,train
CHEMBL.COMPOUND:CHEMBL1554,MONDO:0018271,1,val
CHEMBL.COMPOUND:CHEMBL1236189,MONDO:0018871,1,test
CHEMBL.COMPOUND:CHEMBL1289601,MONDO:0024622,1,train
CHEMBL.COMPOUND:CHEMBL917,MONDO:0004721,1,train
CHEMBL.COMPOUND:CHEMBL513,MONDO:0021042,1,train
